CROP_YEAR,STATE_CODE,STATE_ABBR,COUNTY_CODE,COUNTY_NAME,CROP_CODE,CROP_NAME,INSURANCE_PLAN_CODE,INSURANCE_PLAN_NAME,STAGE_CODE,COVERAGE_TYPE,COVERAGE_LEVEL,POLICIES_SOLD,POLICIES_EARNING_PREMIUM,POLICIES_INDEMNIFIED,UNITS_EARNING_PREMIUM,UNITS_INDEMNIFIED,QUANTITY_TYPE,NET_REPORTED_QUANTITY,COMPANION_QUANTITY,LIABILITY,TOTAL_PREMIUM,PRODUCER_PREMIUM,SUBSIDY,STATE_SUBSIDY,ADDITIONAL_SUBSIDY,INDEMNITY,LOSS_RATIO
2023,27,MN,13,Blue Earth                    ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.85,21,1,1,1,1,Acres                    ,29.0,0,11601.0,1322.0,502,0,0,0,1467.0,1.1096822995461422
2023,20,KS,205,Wilson                        ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.8,29,23,15,25,17,Acres                    ,9016.0,0,3333877.0,503189.0,344507,0,0,0,1166556.0,2.31832571856698
2023,17,IL,99,La Salle                      ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.85,17,9,0,9,0,Acres                    ,586.0,0,346633.0,93975.0,38533,0,0,0,0.0,0.0
2023,19,IA,119,Lyon                          ,41,Corn                          ,89,ECO-RPHPE ,A    ,RBUP,0.95,1,1,1,2,2,Acres                    ,0.0,259,29988.0,11363.0,5000,0,0,0,29988.0,2.639091789140192
2023,19,IA,41,Clay                          ,41,Corn                          ,32,SCO-RP    ,A    ,RBUP,0.8,7,4,0,8,0,Acres                    ,0.0,691,39215.0,12287.0,7986,0,0,0,0.0,0.0
2023,20,KS,93,Kearny                        ,41,CORN                          ,1,YP        ,A    ,RBUP,0.6,2,1,1,1,1,Acres                    ,52.0,0,11977.0,2083.0,1333,0,0,0,7159.0,3.4368698991838693
2023,17,IL,41,Douglas                       ,41,Corn                          ,17,MP-HPO    ,A    ,RBUP,0.95,4,2,2,2,2,Acres                    ,429.0,0,643859.0,72158.0,31749,0,0,0,34727.0,0.48126333878433436
2023,48,TX,233,Hutchinson                    ,21,Cotton                        ,3,RPHPE     ,A    ,RBUP,0.85,1,1,1,4,4,Acres                    ,715.0,0,76766.0,61679.0,23437,0,0,0,76766.0,1.2446051330274486
2023,31,NE,103,Keya Paha                     ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.6,2,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,31,NE,121,Merrick                       ,81,Soybeans                      ,32,SCO-RP    ,A    ,RBUP,0.85,1,1,1,2,1,Acres                    ,0.0,45,386.0,107.0,69,0,0,0,19.0,0.17757009345794392
2023,18,IN,151,Steuben                       ,41,CORN                          ,32,SCO-RP    ,A    ,RBUP,0.8,7,6,0,23,0,Acres                    ,0.0,1453,83232.0,25373.0,16491,0,0,0,0.0,0.0
2023,48,TX,381,Randall                       ,11,Wheat                         ,1,YP        ,A    ,RBUP,0.65,4,1,1,1,1,Acres                    ,231.0,0,17259.0,6099.0,3598,0,0,0,16648.0,2.7296278078373506
2023,27,MN,109,Olmsted                       ,41,Corn                          ,1,YP        ,C    ,RCAT,0.5,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,17,IL,141,Ogle                          ,81,Soybeans                      ,3,RPHPE     ,A    ,RBUP,0.65,1,1,0,1,0,Acres                    ,296.0,0,157640.0,1748.0,1399,0,0,0,0.0,0.0
2023,31,NE,69,Garden                        ,11,Wheat                         ,32,SCO-RP    ,A    ,RBUP,0.75,2,2,2,7,7,Acres                    ,0.0,332,15382.0,7319.0,4758,0,0,0,93.0,0.01270665391446919
2023,17,IL,25,Clay                          ,81,Soybeans                      ,3,RPHPE     ,A    ,RBUP,0.65,1,1,1,1,1,Acres                    ,15.0,0,6148.0,126.0,74,0,0,0,630.0,5.0
2024,18,IN,131,Pulaski                       ,41,Corn                          ,2,RP        ,A    ,RBUP,0.65,2,1,0,1,0,Acres                    ,395.0,0,254399.0,7777.0,6222,0,0,0,0.0,0.0
2023,27,MN,49,Goodhue                       ,41,corn                          ,2,RP        ,A    ,RBUP,0.75,120,104,19,136,25,Acres                    ,22211.0,0,20901612.0,737979.0,530760,0,0,0,231556.0,0.31377044604250254
2023,17,IL,41,Douglas                       ,41,Corn                          ,1,YP        ,A    ,RBUP,0.65,1,1,0,4,0,Acres                    ,84.0,0,63939.0,1110.0,655,0,0,0,0.0,0.0
2023,38,ND,59,Morton                        ,11,Wheat                         ,32,SCO-RP    ,A    ,RBUP,0.75,49,35,0,304,0,Acres                    ,0.0,35188,1571324.0,659157.0,428178,0,0,0,0.0,0.0
2023,48,TX,197,Hardeman                      ,11,Wheat                         ,31,SCO-YP    ,A    ,RBUP,0.65,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,17,IL,159,Richland                      ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.7,56,31,1,59,1,Acres                    ,2890.0,0,1166089.0,194725.0,138918,0,0,0,135.0,0.000693285402490692
2023,48,TX,45,Briscoe                       ,11,Wheat                         ,32,SCO-RP    ,A    ,RBUP,0.5,5,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,39,OH,63,Hancock                       ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.8,122,61,2,99,3,Acres                    ,5016.0,0,2555840.0,366641.0,204117,0,0,0,1641.0,0.0044757678492039895
2023,20,KS,99,Labette                       ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.7,148,115,55,263,116,Acres                    ,14433.0,0,4139580.0,554043.0,366682,0,0,0,525679.0,0.9488054176300396
2023,27,MN,161,Waseca                        ,41,Corn                          ,32,SCO-RP    ,A    ,RBUP,0.85,1,1,1,2,2,Acres                    ,0.0,225,2916.0,1051.0,683,0,0,0,2916.0,2.774500475737393
2023,48,TX,111,Dallam                        ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.7,56,27,24,61,48,Acres                    ,14302.0,0,2569198.0,896181.0,605244,0,0,0,1530720.0,1.708047816233551
2023,27,MN,69,Kittson                       ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.75,170,122,17,217,28,Acres                    ,72400.0,0,26078673.0,3896384.0,2856486,0,0,0,733646.0,0.18828893661405036
2023,17,IL,107,Logan                         ,41,Corn                          ,2,RP        ,A    ,RBUP,0.75,74,66,17,88,22,Acres                    ,8919.0,0,8978310.0,312248.0,209172,0,0,0,76698.0,0.24563167738464298
2023,18,IN,167,Vigo                          ,81,Soybeans                      ,5,ARP       ,A    ,RBUP,0.8,1,1,0,6,0,Acres                    ,869.0,0,553856.0,11687.0,6428,0,0,0,0.0,0.0
2023,46,SD,23,Charles Mix                   ,41,Corn                          ,87,ECO-YP    ,A    ,RBUP,0.95,2,2,0,4,0,Acres                    ,0.0,196,13614.0,5525.0,2818,0,0,0,0.0,0.0
2023,17,IL,111,Mchenry                       ,41,Corn                          ,88,ECO-RP    ,A    ,RBUP,0.95,26,26,26,181,181,Acres                    ,0.0,17477,1557193.0,802898.0,353884,0,0,0,745595.0,0.9286297885908297
2023,18,IN,83,Knox                          ,11,Wheat                         ,1,YP        ,A    ,RBUP,0.65,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,38,ND,43,Kidder                        ,11,Wheat                         ,1,YP        ,C    ,RCAT,0.5,3,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,18,IN,161,Union                         ,41,Corn                          ,1,YP        ,A    ,RBUP,0.7,1,1,0,1,0,Acres                    ,26.0,0,19742.0,292.0,172,0,0,0,0.0,0.0
2023,18,IN,97,Marion                        ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.65,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
